study,curation_level,cur_lev_rank
37834,Level 2,4
37835,Level 3,5
37836,Level 3,5
37837,Level 3,5
37838,Level 3,5
37839,Level 3,5
37840,Level 2,4
37841,Level 3,5
37842,Level 3,5
37843,Level 1,3
37844,Level 3,5
37845,Level 3,5
37846,Level 3,5
37847,Level 3,5
37848,Level 3,5
37849,Level 1,3
37850,Level 0,1
37851,Level 0,1
37852,Level 0,1
37853,Level 3,5
37854,Level 3,5
37856,Level 0,1
37857,Level 3,5
37858,Level 1,3
37859,Level 0,1
37860,Level 0,1
37861,Level 1,3
37862,Level 1,3
37863,Level 1,3
37864,Level 1,3
37866,Level 1,3
37867,Level 1,3
37869,Level 1,3
37870,Level 1,3
37871,Level 2,4
37872,Level 3,5
37873,Level 3,5
37874,Level 3,5
37876,Level 3,5
37877,Level 3,5
37879,Level 3,5
37880,Level 3,5
37881,Level 3,5
37882,Level 3,5
37883,Level 3,5
37884,Level 3,5
37887,Fast Release,2
37888,Level 1,3
37889,Level 3,5
37891,Level 1,3
37892,Level 1,3
37893,Level 1,3
37894,Level 1,3
37895,Level 3,5
37896,Level 0,1
37897,Level 1,3
37898,Level 1,3
37899,Level 3,5
37900,Level 3,5
37901,Level 3,5
37902,Level 3,5
37903,Level 3,5
37904,Level 3,5
37905,Level 3,5
37906,Level 3,5
37907,Level 0,1
37908,Level 1,3
37909,Level 3,5
37910,Level 3,5
37911,Level 3,5
37912,Level 3,5
37913,Level 1,3
37914,Level 1,3
37915,Level 1,3
37916,Level 3,5
37917,Level 3,5
37918,Level 1,3
37919,Level 3,5
37920,Level 1,3
37921,Level 3,5
37922,Level 3,5
37923,Level 3,5
37925,Level 2,4
37926,Level 3,5
37928,Level 1,3
37929,Level 1,3
37930,Level 3,5
37931,Level 0,1
37933,Level 1,3
37935,Level 0,1
37936,Level 1,3
37938,Level 3,5
37939,Level 1,3
37940,Level 3,5
37941,Level 1,3
37944,Level 1,3
37945,Level 0,1
37946,Level 1,3
37947,Level 1,3
37948,Level 0,1
37949,Level 2,4
37950,Level 3,5
37951,Level 3,5
37952,Level 3,5
37953,Level 3,5
37954,Level 1,3
37956,Level 1,3
37957,Level 1,3
37959,Level 0,1
37960,Level 1,3
37966,Level 2,4
37969,Level 1,3
37970,Level 3,5
37971,Level 3,5
37972,Level 3,5
37973,Level 3,5
37974,Level 2,4
37975,Level 3,5
37976,Level 0,1
37977,Level 0,1
37978,Level 0,1
37979,Level 0,1
37983,Level 3,5
37984,Level 0,1
37985,Level 3,5
37986,Level 3,5
37987,Level 3,5
37988,Level 0,1
37989,Level 3,5
37990,Level 3,5
37991,Level 3,5
37992,Level 3,5
